task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
medicine__P1__mortality_exclude_critical_discharge,medicine,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.893976 [0.862752, 0.920559]","0.195045 [0.130186, 0.272647]",15991,125,0.893976049413841,0.8627516919926344,0.920559334876761,0.19504474988628173,0.130185512473264,0.27264686688899253,0.006930082777061647,0.006504242367126522,0.007339689511163018,0.1276595744680851,0.0001250703520730411,0.5,0.5,0.5,0.072,0.9995588049918064,0.5625,0.9927386541471048,9,7,15859,116,ESTIMATED,ESTIMATED,ESTIMATED,99075a49e610848506052b69cdb1c5e62d2f7c095952f54f52140693b43030d9,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t1\r,47edab4262401376467854c9198c164de4925d0131358a08342692eb614ec0d3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__mortality_exclude_critical_discharge_validation.json,e8a1bf9ccc70e7b4d06499089eed07c8e4b85fc2c811187fe09029745a73594e
medicine__P1__mortality_exclude_critical_discharge,medicine,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.937614 [0.912961, 0.959767]","0.455741 [0.366303, 0.576581]",4766,94,0.9376138516467502,0.9129607074451328,0.9597671849790093,0.45574117523530167,0.366303015694063,0.5765806520861004,0.013925669427371322,0.012418315056666953,0.01527207995896376,0.288135593220339,0.00209819555182543,0.5,0.5,0.5,0.18085106382978725,0.9985017123287672,0.7083333333333334,0.9837621256853648,17,7,4665,77,ESTIMATED,ESTIMATED,ESTIMATED,a36eac6329ff238d8117aa4e2860230e24863e8c4cbb31478b33af3276c60ae8,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t1\r,47edab4262401376467854c9198c164de4925d0131358a08342692eb614ec0d3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__mortality_exclude_critical_discharge_validation.json,e8a1bf9ccc70e7b4d06499089eed07c8e4b85fc2c811187fe09029745a73594e
medicine__P1__mortality_exclude_critical_discharge,medicine,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.89465 [0.866897, 0.919381]","0.196083 [0.138014, 0.272916]",15995,129,0.8946501562993168,0.8668970678650686,0.9193812064045592,0.1960832756094135,0.13801431695438643,0.2729158437510251,0.007160918010070117,0.00675608273915642,0.007547662757801046,0.12162162162162163,-6.251953735542357e-05,0.5,0.5,0.5,0.06976744186046512,0.9993697214168663,0.47368421052631576,0.9924887330996495,9,10,15856,120,ESTIMATED,ESTIMATED,ESTIMATED,aafed358290fb1154988f8565e7fefcd0d493e5645a9235d8bffd54e199f8913,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t1\r,47edab4262401376467854c9198c164de4925d0131358a08342692eb614ec0d3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__mortality_exclude_critical_discharge_validation.json,e8a1bf9ccc70e7b4d06499089eed07c8e4b85fc2c811187fe09029745a73594e
medicine__P1__mortality_exclude_critical_discharge,medicine,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940944 [0.919978, 0.958851]","0.467949 [0.374486, 0.569809]",4770,98,0.9409443143695834,0.9199775984591568,0.9588512726317755,0.4679488387265004,0.37448566102609837,0.5698091806614787,0.01465681669691664,0.013369349658935077,0.015976482467174338,0.23931623931623933,0.0018867924528301887,0.5,0.5,0.5,0.14285714285714285,0.998929794520548,0.7368421052631579,0.9823195116817512,14,5,4667,84,ESTIMATED,ESTIMATED,ESTIMATED,c0ef85bd79b7e079a58a21aab89269df84d4b7d6cddbdcd8467aa3d5cf4abe78,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T171453Z_account-07_v2\t1\r,47edab4262401376467854c9198c164de4925d0131358a08342692eb614ec0d3,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P1__mortality_exclude_critical_discharge_validation.json,e8a1bf9ccc70e7b4d06499089eed07c8e4b85fc2c811187fe09029745a73594e
medicine__P2__mortality_exclude_critical_discharge,medicine,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.877055 [0.86821, 0.885626]","0.453176 [0.428853, 0.479877]",15922,1508,0.8770554084795985,0.868209667602518,0.8856262793948071,0.4531761013836139,0.4288531448013221,0.4798766890497473,0.07657905799919502,0.07430487480849453,0.07888665164283946,0.47434292866082606,-0.010802662982037433,0.5,0.5,0.5,0.5026525198938993,0.9354793950326072,0.4490521327014218,0.9473092595194604,758,930,13484,750,ESTIMATED,ESTIMATED,ESTIMATED,fd746e040626f80bd03eb1c3aced33549dea53bec770f5101357d91b365a7993,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t3\r,497917af92d141ff75f96e0d0a6670f3dcf2d384400ca906dbc4cbba29b1394e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__mortality_exclude_critical_discharge_validation.json,540564e53540cd35664e563aef07490457f7f4859af0d73dd359f38f984cac95
medicine__P2__mortality_exclude_critical_discharge,medicine,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.883191 [0.868654, 0.897185]","0.563038 [0.525751, 0.603944]",4749,547,0.883191341809028,0.8686543705971315,0.8971850627011101,0.563037847849662,0.5257507817172188,0.603943746540689,0.08393537073637564,0.07939700203595952,0.088183994059434,0.5291631445477599,-0.0021057064645188463,0.5,0.5,0.5,0.5722120658135283,0.9231318419800095,0.4921383647798742,0.9431072210065645,313,323,3879,234,ESTIMATED,ESTIMATED,ESTIMATED,d2dc57717b5ed788aea7fc7ca5d2862c0eb5dc8993b0ac2ceee44f4faff2f41c,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t3\r,497917af92d141ff75f96e0d0a6670f3dcf2d384400ca906dbc4cbba29b1394e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__mortality_exclude_critical_discharge_validation.json,540564e53540cd35664e563aef07490457f7f4859af0d73dd359f38f984cac95
medicine__P2__mortality_exclude_critical_discharge,medicine,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.877541 [0.8698, 0.885752]","0.46543 [0.442406, 0.489952]",15995,1581,0.8775413986700504,0.8697999289063779,0.8857515936204788,0.46543012781367255,0.44240557429829064,0.489951591183258,0.07891128138649631,0.07658802942643897,0.08126275859227025,0.4826979472140763,-0.011441075336042513,0.5,0.5,0.5,0.5205566097406704,0.930206743443874,0.4499726626571897,0.9464915996046873,823,1006,13408,758,ESTIMATED,ESTIMATED,ESTIMATED,b8399b00cd226c8c54e6b684c712261685238606cb03b3ce2021ac7212cac994,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t3\r,497917af92d141ff75f96e0d0a6670f3dcf2d384400ca906dbc4cbba29b1394e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__mortality_exclude_critical_discharge_validation.json,540564e53540cd35664e563aef07490457f7f4859af0d73dd359f38f984cac95
medicine__P2__mortality_exclude_critical_discharge,medicine,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.884963 [0.871602, 0.898458]","0.576214 [0.539123, 0.613809]",4770,568,0.8849633977113514,0.8716015705023131,0.8984575474428184,0.5762144434517572,0.539122813828204,0.6138089545971765,0.08616831282273728,0.08158481670135687,0.09071287447832634,0.5384006334125099,-0.0031446540880503146,0.5,0.5,0.5,0.5985915492957746,0.9155164207520229,0.4892086330935252,0.9440490797546012,340,355,3847,228,ESTIMATED,ESTIMATED,ESTIMATED,0780a684c7649fee5c15d381b9b48819feda53386948f4bdbde630fecbceb886,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t3\r,497917af92d141ff75f96e0d0a6670f3dcf2d384400ca906dbc4cbba29b1394e,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_medicine__P2__mortality_exclude_critical_discharge_validation.json,540564e53540cd35664e563aef07490457f7f4859af0d73dd359f38f984cac95
