task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P3__p3_non_field_ett,surgery,P3,sensitivity,p3_non_field_ett,p3_non_field_ett / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.947791 [0.916044, 0.973467]","0.404334 [0.291118, 0.53174]",8731,56,0.9477912721284478,0.9160441371142231,0.9734665876790891,0.40433411556828464,0.2911176506130687,0.5317399497009796,0.00481815400689933,0.00420134392576358,0.005429789204009655,0.33766233766233766,0.0005726720879624327,0.5,0.5,0.5,0.23214285714285715,0.9990778097982709,0.6190476190476191,0.9950631458094145,13,8,8667,43,ESTIMATED,ESTIMATED,ESTIMATED,c42a4719722ee0c224b5fadf049344c464798fd56614702960c820c014c78731,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_field_ett,603ba1cbce748f1fa35d4e19e834ec5c05d352400086a4d1a44529a86b097349,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_field_ett\603ba1cbce748f1f_3c510f4d0008.report.json,6f64faa1cab7e234409fa61a6f09680eaa9e994e2a9b9415e624c45aca8f0810
surgery__P3__p3_non_field_ett,surgery,P3,sensitivity,p3_non_field_ett,p3_non_field_ett / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.937687 [0.875383, 0.982029]","0.61992 [0.451539, 0.802625]",2712,32,0.937686567164179,0.8753832930361555,0.9820288823734704,0.6199195069763357,0.45153922380356554,0.8026245795689411,0.006111727119587735,0.004260396604907322,0.008078721641799125,0.6666666666666666,0.004793510324483776,0.5,0.5,0.5,0.59375,0.9977611940298508,0.76,0.9951618905842947,19,6,2674,13,ESTIMATED,ESTIMATED,ESTIMATED,8362377c52501bcb78d857c69f7a66e78bcb3e8291d74a36208230b84f828621,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_field_ett,603ba1cbce748f1fa35d4e19e834ec5c05d352400086a4d1a44529a86b097349,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_field_ett\603ba1cbce748f1f_3c510f4d0008.report.json,6f64faa1cab7e234409fa61a6f09680eaa9e994e2a9b9415e624c45aca8f0810
surgery__P3__p3_non_field_ett,surgery,P3,sensitivity,p3_non_field_ett,p3_non_field_ett / p3_non_field_ett,p3_non_field_ett,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.947791 [0.916876, 0.974458]","0.404334 [0.292231, 0.539675]",8731,56,0.9477912721284478,0.9168758971315817,0.9744576917535889,0.40433411556828464,0.292231071272616,0.5396753121833405,0.00481815400689933,0.004152780184874535,0.005447975594284586,0.33766233766233766,0.0005726720879624327,0.5,0.5,0.5,0.23214285714285715,0.9990778097982709,0.6190476190476191,0.9950631458094145,13,8,8667,43,ESTIMATED,ESTIMATED,ESTIMATED,c42a4719722ee0c224b5fadf049344c464798fd56614702960c820c014c78731,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_field_ett,603ba1cbce748f1fa35d4e19e834ec5c05d352400086a4d1a44529a86b097349,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_field_ett\603ba1cbce748f1f_3c510f4d0008.report.json,6f64faa1cab7e234409fa61a6f09680eaa9e994e2a9b9415e624c45aca8f0810
surgery__P3__p3_non_field_ett,surgery,P3,sensitivity,p3_non_field_ett,p3_non_field_ett / p3_non_field_ett,p3_non_field_ett,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.935713 [0.874542, 0.980795]","0.609592 [0.438793, 0.79241]",2711,31,0.9357125662012518,0.8745420956799129,0.9807948792390303,0.6095923954883152,0.4387925249105371,0.7924095530626409,0.006088796419737245,0.004265001521979435,0.008028471349544089,0.6545454545454545,0.004426410918480265,0.5,0.5,0.5,0.5806451612903226,0.9977611940298508,0.75,0.9951618905842947,18,6,2674,13,ESTIMATED,ESTIMATED,ESTIMATED,584d3948ae62678bbe4122623784591561c5bddcac6379e41071593ed3b564ea,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_field_ett,603ba1cbce748f1fa35d4e19e834ec5c05d352400086a4d1a44529a86b097349,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_field_ett\603ba1cbce748f1f_3c510f4d0008.report.json,6f64faa1cab7e234409fa61a6f09680eaa9e994e2a9b9415e624c45aca8f0810
surgery__P3__p3_non_ett_sga,surgery,P3,sensitivity,p3_non_ett_sga,p3_non_ett_sga / all_comer_reference,all_comer_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.947791 [0.916044, 0.973467]","0.404334 [0.291118, 0.53174]",8731,56,0.9477912721284478,0.9160441371142231,0.9734665876790891,0.40433411556828464,0.2911176506130687,0.5317399497009796,0.00481815400689933,0.00420134392576358,0.005429789204009655,0.33766233766233766,0.0005726720879624327,0.5,0.5,0.5,0.23214285714285715,0.9990778097982709,0.6190476190476191,0.9950631458094145,13,8,8667,43,ESTIMATED,ESTIMATED,ESTIMATED,c42a4719722ee0c224b5fadf049344c464798fd56614702960c820c014c78731,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_ett_sga,f9d198d61c7dc5c600ed545376309602613bde970f22a46b316edc4ef7f1da8d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_ett_sga\f9d198d61c7dc5c6_3c510f4d0008.report.json,2c8b26cf8c43c9361174c5f333157497f99292631e8396a712bcdde824fabe38
surgery__P3__p3_non_ett_sga,surgery,P3,sensitivity,p3_non_ett_sga,p3_non_ett_sga / all_comer_reference,all_comer_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.937687 [0.875383, 0.982029]","0.61992 [0.451539, 0.802625]",2712,32,0.937686567164179,0.8753832930361555,0.9820288823734704,0.6199195069763357,0.45153922380356554,0.8026245795689411,0.006111727119587735,0.004260396604907322,0.008078721641799125,0.6666666666666666,0.004793510324483776,0.5,0.5,0.5,0.59375,0.9977611940298508,0.76,0.9951618905842947,19,6,2674,13,ESTIMATED,ESTIMATED,ESTIMATED,8362377c52501bcb78d857c69f7a66e78bcb3e8291d74a36208230b84f828621,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_ett_sga,f9d198d61c7dc5c600ed545376309602613bde970f22a46b316edc4ef7f1da8d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_ett_sga\f9d198d61c7dc5c6_3c510f4d0008.report.json,2c8b26cf8c43c9361174c5f333157497f99292631e8396a712bcdde824fabe38
surgery__P3__p3_non_ett_sga,surgery,P3,sensitivity,p3_non_ett_sga,p3_non_ett_sga / p3_non_ett_sga,p3_non_ett_sga,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.945034 [0.90967, 0.974223]","0.368851 [0.246395, 0.517694]",8726,53,0.945034361681993,0.909670148707015,0.974223075176334,0.368851214420826,0.24639499060509248,0.5176937633366948,0.004716654742984172,0.004091043762273561,0.00534083349935208,0.2857142857142857,0.00034380013752005503,0.5,0.5,0.5,0.18867924528301888,0.9991928974979822,0.5882352941176471,0.9950625789413251,10,7,8666,43,ESTIMATED,ESTIMATED,ESTIMATED,d7a664dbe70c68ea29a8799a76db969a5298e17071d66e3e55fd4a3ba8b85dc4,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_ett_sga,f9d198d61c7dc5c600ed545376309602613bde970f22a46b316edc4ef7f1da8d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_ett_sga\f9d198d61c7dc5c6_3c510f4d0008.report.json,2c8b26cf8c43c9361174c5f333157497f99292631e8396a712bcdde824fabe38
surgery__P3__p3_non_ett_sga,surgery,P3,sensitivity,p3_non_ett_sga,p3_non_ett_sga / p3_non_ett_sga,p3_non_ett_sga,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.932207 [0.871558, 0.982377]","0.657887 [0.485337, 0.83447]",2705,29,0.9322071027266636,0.8715579910082175,0.982376873048767,0.6578867228974451,0.48533681467717094,0.8344698273059804,0.0053441118605353005,0.0037671035941881192,0.007024346962756484,0.68,0.004805914972273568,0.5,0.5,0.5,0.5862068965517241,0.9985052316890882,0.8095238095238095,0.9955290611028316,17,4,2672,12,ESTIMATED,ESTIMATED,ESTIMATED,1a5ee6724d5554fcfbee54780f2cd839e3673d8c181e2406e6dc5f6bff2ab2c9,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Recorded airway exclusion; absence of a recorded flag does not prove a hospital-only event.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\runs\surgery__P3__p3_non_ett_sga,f9d198d61c7dc5c600ed545376309602613bde970f22a46b316edc4ef7f1da8d,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\specialty_opname_v1\p1_04_extension_20260905\local_dispatch_full\validations\surgery__P3__p3_non_ett_sga\f9d198d61c7dc5c6_3c510f4d0008.report.json,2c8b26cf8c43c9361174c5f333157497f99292631e8396a712bcdde824fabe38
