task_id,group,outcome,kind,analysis,Experiment,arm,split,probability_layer,presentation,completion_status,Features included,feature_set_id,feature_count,AUROC[CI],AUPRC[CI],N,events,AUROC,AUROC_lower_ci,AUROC_upper_ci,AUPRC,AUPRC_lower_ci,AUPRC_upper_ci,Brier,Brier_lower_ci,Brier_upper_ci,F1,net benefit,threshold_mean,threshold_min,threshold_max,sensitivity,specificity,PPV,NPV,TP,FP,TN,FN,AUROC_status,AUPRC_status,Brier_status,cohort_identity_sha256,Interpretation,source_result_root,source_result_receipt_sha256,source_validation_path,source_validation_sha256
surgery__P1__mortality_exclude_critical_discharge,surgery,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.910229, 0.998388]","0.177373 [0.0695083, 0.448403]",8731,9,0.9624194246987184,0.9102293718546364,0.9983881390565964,0.177372565678338,0.06950828458380039,0.44840338114933365,0.0009840552865293232,0.0008921076217017957,0.001080857043598006,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t15\r,c90905a7de358c3da04ec87be18252a84ed4d6856e32f76b85dfa2a5a4049f22,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__mortality_exclude_critical_discharge_validation.json,8cc3241717edbcc49510be05a5c1a94d2659eba57e602a026e599335ebf9bbb7
surgery__P1__mortality_exclude_critical_discharge,surgery,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.905687, 0.997297]","0.261247 [0.131349, 0.587337]",2712,9,0.9665803428289556,0.9056873401841703,0.9972967216519465,0.26124708624708626,0.13134937494569496,0.5873366259688276,0.0029070521270473954,0.002429435509444624,0.003350611695220193,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t15\r,c90905a7de358c3da04ec87be18252a84ed4d6856e32f76b85dfa2a5a4049f22,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__mortality_exclude_critical_discharge_validation.json,8cc3241717edbcc49510be05a5c1a94d2659eba57e602a026e599335ebf9bbb7
surgery__P1__mortality_exclude_critical_discharge,surgery,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.962419 [0.909897, 0.998394]","0.177373 [0.0736712, 0.455526]",8731,9,0.9624194246987184,0.9098968389506831,0.9983939478167818,0.177372565678338,0.07367124216629177,0.45552572544987396,0.0009840552865293232,0.0008885826887356797,0.0010840599164099662,0.0,-0.00011453441759248655,0.5,0.5,0.5,0.0,0.9998853473973859,0.0,0.9989690721649485,0,1,8721,9,ESTIMATED,ESTIMATED,ESTIMATED,1932ab87fa0d7e44ab97647eaaf7048d214482266e54e2c6f8f2735bc7bcc360,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t15\r,c90905a7de358c3da04ec87be18252a84ed4d6856e32f76b85dfa2a5a4049f22,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__mortality_exclude_critical_discharge_validation.json,8cc3241717edbcc49510be05a5c1a94d2659eba57e602a026e599335ebf9bbb7
surgery__P1__mortality_exclude_critical_discharge,surgery,P1,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.96658 [0.907712, 0.997284]","0.261247 [0.133451, 0.578174]",2712,9,0.9665803428289556,0.9077119344232472,0.997284151211773,0.26124708624708626,0.13345125906446234,0.5781744291283765,0.0029070521270473954,0.0024199429792897227,0.00334249239655918,0.0,0.0,0.5,0.5,0.5,0.0,1.0,,0.9966814159292036,0,0,2703,9,ESTIMATED,ESTIMATED,ESTIMATED,275a2492f4ab239e2924d96e5ac4b4b8de9740d648fcdb97738717fab3e688ae,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T161352Z_account-04_v3\t15\r,c90905a7de358c3da04ec87be18252a84ed4d6856e32f76b85dfa2a5a4049f22,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P1__mortality_exclude_critical_discharge_validation.json,8cc3241717edbcc49510be05a5c1a94d2659eba57e602a026e599335ebf9bbb7
surgery__P2__mortality_exclude_critical_discharge,surgery,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.940345 [0.924531, 0.954622]","0.286488 [0.214359, 0.374448]",8721,110,0.9403448021030183,0.9245314291616689,0.9546222293718036,0.2864875926966539,0.21435926641826578,0.3744476370831126,0.010434070035753822,0.009702769279260285,0.011121903293082495,0.16,0.0005733287467033597,0.5,0.5,0.5,0.09090909090909091,0.9994193473464174,0.6666666666666666,0.9885136687342063,10,5,8606,100,ESTIMATED,ESTIMATED,ESTIMATED,0a8a6009ea8a15f9e5fd9433b6cc95ab3d454e9a4cce698334702a8f08578791,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t17\r,afd2285840b6bc24b4c583bed94fb3bd048cd2f78a3309f8f92c70fa40cba80f,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__mortality_exclude_critical_discharge_validation.json,4559e14605282a46d4e5478e36973feba269423800d6f4808539a2a5ce230d4f
surgery__P2__mortality_exclude_critical_discharge,surgery,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / critical_discharge_excluded,critical_discharge_excluded,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.916679 [0.873017, 0.9513]","0.322224 [0.203633, 0.495759]",2710,39,0.9166786663978728,0.8730173364040468,0.9513004449301838,0.32222409940936886,0.20363268862472686,0.49575902653252407,0.011565263247165163,0.009866313580247357,0.01329261884225504,0.3508771929824561,0.0007380073800738007,0.5,0.5,0.5,0.2564102564102564,0.9970048670909771,0.5555555555555556,0.9892273402674592,10,8,2663,29,ESTIMATED,ESTIMATED,ESTIMATED,bacdb28c610ae74d4fe66a3dce7fe30b4477cd75237b5476df5d710307cdd273,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t17\r,afd2285840b6bc24b4c583bed94fb3bd048cd2f78a3309f8f92c70fa40cba80f,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__mortality_exclude_critical_discharge_validation.json,4559e14605282a46d4e5478e36973feba269423800d6f4808539a2a5ce230d4f
surgery__P2__mortality_exclude_critical_discharge,surgery,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,oof_2020_2023,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.93904 [0.924004, 0.952572]","0.302333 [0.227895, 0.390713]",8731,120,0.939040181163628,0.9240035037955774,0.9525719904152332,0.30233259584687333,0.22789516567732507,0.39071309044940267,0.011255446687565805,0.010488700597929683,0.011978272757287784,0.14492753623188406,0.0002290688351849731,0.5,0.5,0.5,0.08333333333333333,0.9990709557542677,0.5555555555555556,0.9873751865029267,10,8,8603,110,ESTIMATED,ESTIMATED,ESTIMATED,130bc8455e784aaee6dc8388642d0acdd1930bbe7cc625bb9771c4ca288a7be7,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t17\r,afd2285840b6bc24b4c583bed94fb3bd048cd2f78a3309f8f92c70fa40cba80f,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__mortality_exclude_critical_discharge_validation.json,4559e14605282a46d4e5478e36973feba269423800d6f4808539a2a5ce230d4f
surgery__P2__mortality_exclude_critical_discharge,surgery,P2,sensitivity,mortality_exclude_critical_discharge,mortality_exclude_critical_discharge / primary_definition_reference,primary_definition_reference,validation_2024,RAW_LOCKED_BASE_PREDICTIONS,raw,VALIDATED_COMPUTED,Full locked input feature order,d5d5e2d8a0734a0ce9af97a6606994868307c154f09eee30ee788ada6108d568,764,"0.920652 [0.878796, 0.957033]","0.369779 [0.244184, 0.54488]",2712,41,0.9206518066678232,0.8787962900944781,0.9570330740658287,0.36977913513121524,0.24418398916016618,0.5448796025133241,0.011737739166374965,0.009883076829363536,0.013444110497979144,0.3728813559322034,0.0014749262536873156,0.5,0.5,0.5,0.2682926829268293,0.997379258704605,0.6111111111111112,0.9888641425389755,11,7,2664,30,ESTIMATED,ESTIMATED,ESTIMATED,21ebd3380ad1406a8f533d9a1de9595edd1deb562833aa9f07147c175011bf44,"Descriptive arm estimate. CI is an individual-arm CI, not a paired-difference CI; no significance claim for a delta. Raw layer; operating point is the recorded P104 comparator rule, not a final clinical threshold. Separate cohort-exclusion sensitivity; primary outcome labels are unchanged.",D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104rv\sweep_20260906T151250Z_account-10_v2\t17\r,afd2285840b6bc24b4c583bed94fb3bd048cd2f78a3309f8f92c70fa40cba80f,D:\Codex_分拆Prompt嚴格無到院\outputs\v2\.p104k10\cloud_validation_index_20260906T211456Z\task_surgery__P2__mortality_exclude_critical_discharge_validation.json,4559e14605282a46d4e5478e36973feba269423800d6f4808539a2a5ce230d4f
