group,city,feature,n,missing_n,missing_rate
medicine,台北,MISSREASON_EMT_現場_GCS_V__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_現場_GCS_M,911,10,0.010976948408342482
medicine,台北,MISS_EMT_現場_GCS_M,911,0,0.0
medicine,台北,MISSREASON_EMT_現場_GCS_M__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_現場_GCS_M__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_現場_GCS_M__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_現場_GCS_M__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_舒張壓,911,911,1.0
medicine,台北,MISS_EMT_車上_舒張壓,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_舒張壓__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_舒張壓__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_舒張壓__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_舒張壓__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_脈搏,911,911,1.0
medicine,台北,MISS_EMT_車上_脈搏,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_脈搏__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_脈搏__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_脈搏__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_脈搏__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_呼吸,911,911,1.0
medicine,台北,MISS_EMT_車上_呼吸,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_呼吸__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_呼吸__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_呼吸__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_呼吸__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_SPO2,911,911,1.0
medicine,台北,MISS_EMT_車上_SPO2,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_SPO2__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_SPO2__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_SPO2__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_SPO2__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_體溫,911,911,1.0
medicine,台北,MISS_EMT_車上_體溫,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_體溫__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_體溫__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_體溫__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_體溫__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_GCS,911,21,0.02305159165751921
medicine,台北,MISS_EMT_車上_GCS,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_GCS_E,911,10,0.010976948408342482
medicine,台北,MISS_EMT_車上_GCS_E,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_E__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_E__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_E__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_E__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_GCS_V,911,20,0.021953896816684963
medicine,台北,MISS_EMT_車上_GCS_V,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_V__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_V__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_V__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_V__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_車上_GCS_M,911,10,0.010976948408342482
medicine,台北,MISS_EMT_車上_GCS_M,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_M__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_M__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_M__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_車上_GCS_M__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_生命徵象量測次數,911,911,1.0
medicine,台北,MISS_EMT_生命徵象量測次數,911,0,0.0
medicine,台北,MISSREASON_EMT_生命徵象量測次數__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_生命徵象量測次數__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_生命徵象量測次數__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_生命徵象量測次數__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_問卷_疼痛指數,911,911,1.0
medicine,台北,MISS_EMT_問卷_疼痛指數,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_疼痛指數__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_疼痛指數__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_疼痛指數__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_疼痛指數__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_問卷_左瞳孔尺寸mm,911,911,1.0
medicine,台北,MISS_EMT_問卷_左瞳孔尺寸mm,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_問卷_右瞳孔尺寸mm,911,911,1.0
medicine,台北,MISS_EMT_問卷_右瞳孔尺寸mm,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_問卷_血糖值mgdl,911,911,1.0
medicine,台北,MISS_EMT_問卷_血糖值mgdl,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_血糖值mgdl__source_missing,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_血糖值mgdl__not_measured,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_血糖值mgdl__sentinel,911,0,0.0
medicine,台北,MISSREASON_EMT_問卷_血糖值mgdl__invalid_or_out_of_range,911,0,0.0
medicine,台北,EMT_問卷_氧氣流量Lmin,911,911,1.0
medicine,台北,MISS_EMT_問卷_氧氣流量Lmin,911,0,0.0
