group,outcome,target_column,analysis_split,outcome_value,feature,semantic_type,group_rows,n,missing_n,missing_percent,summary_type,median,q1,q3,count,percent
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_舒張壓,continuous_or_ordinal,15866,0,15866,100.0,continuous_median_iqr,,,,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_舒張壓,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,15866,100.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,12,0.07563342997604941
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,837,5.275431740829446
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,15017,94.6489348291945
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_脈搏,continuous_or_ordinal,15866,14941,925,5.830076893987143,continuous_median_iqr,88.0,78.0,101.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_脈搏,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,925,5.830076893987143
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,10,0.06302785831337451
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,907,5.716626749023068
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,8,0.05042228665069961
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_呼吸,continuous_or_ordinal,15866,14941,925,5.830076893987143,continuous_median_iqr,18.0,18.0,18.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_呼吸,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,925,5.830076893987143
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,11,0.06933064414471196
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,907,5.716626749023068
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,7,0.04411950081936216
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_SPO2,continuous_or_ordinal,15866,14906,960,6.050674398083953,continuous_median_iqr,98.0,96.0,99.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_SPO2,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,960,6.050674398083953
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,10,0.06302785831337451
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,914,5.7607462498424304
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,36,0.22690028992814826
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_體溫,continuous_or_ordinal,15866,14927,939,5.918315895625867,continuous_median_iqr,36.3,36.0,37.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_體溫,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,939,5.918315895625867
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,14,0.08823900163872432
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,912,5.748140678179755
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_體溫__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,13,0.08193621580738687
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_GCS,continuous_or_ordinal,15866,14797,1069,6.737678053699734,continuous_median_iqr,15.0,15.0,15.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1069,6.737678053699734
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,152,0.9580234463632925
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,917,5.779654607336443
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_GCS_E,continuous_or_ordinal,15866,14798,1068,6.731375267868398,continuous_median_iqr,4.0,4.0,4.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS_E,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1068,6.731375267868398
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,152,0.9580234463632925
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,916,5.773351821505105
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_E__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_GCS_V,continuous_or_ordinal,15866,14797,1069,6.737678053699734,continuous_median_iqr,5.0,5.0,5.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS_V,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1069,6.737678053699734
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,152,0.9580234463632925
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,917,5.779654607336443
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_V__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_現場_GCS_M,continuous_or_ordinal,15866,14797,1069,6.737678053699734,continuous_median_iqr,6.0,6.0,6.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_現場_GCS_M,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1069,6.737678053699734
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,152,0.9580234463632925
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,917,5.779654607336443
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_GCS_M__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_舒張壓,continuous_or_ordinal,15866,14162,1704,10.739947056599016,continuous_median_iqr,77.0,68.0,87.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_舒張壓,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1704,10.739947056599016
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,421,2.653472834993067
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,1275,8.03605193495525
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_舒張壓__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,8,0.05042228665069961
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_脈搏,continuous_or_ordinal,15866,14481,1385,8.72935837640237,continuous_median_iqr,89.0,78.0,103.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_脈搏,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1385,8.72935837640237
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,421,2.653472834993067
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,947,5.968738182276566
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_脈搏__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,17,0.10714735913273667
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_呼吸,continuous_or_ordinal,15866,14487,1379,8.691541661414345,continuous_median_iqr,18.0,18.0,18.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_呼吸,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1379,8.691541661414345
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,422,2.6597756208244046
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,947,5.968738182276566
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_呼吸__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,10,0.06302785831337451
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_SPO2,continuous_or_ordinal,15866,14481,1385,8.72935837640237,continuous_median_iqr,98.0,96.0,99.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_SPO2,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1385,8.72935837640237
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,422,2.6597756208244046
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,954,6.012857683095929
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_SPO2__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,9,0.056725072482037064
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_體溫,continuous_or_ordinal,15866,14479,1387,8.741963948065044,continuous_median_iqr,36.3,36.0,37.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_體溫,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1387,8.741963948065044
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,422,2.6597756208244046
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,953,6.006554897264591
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_體溫__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,12,0.07563342997604941
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_GCS,continuous_or_ordinal,15866,14747,1119,7.052817345266608,continuous_median_iqr,15.0,15.0,15.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1119,7.052817345266608
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,162,1.0210513046766672
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,957,6.0317660405899405
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_GCS_E,continuous_or_ordinal,15866,14748,1118,7.04651455943527,continuous_median_iqr,4.0,4.0,4.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS_E,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1118,7.04651455943527
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,162,1.0210513046766672
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,956,6.025463254758604
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_E__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_GCS_V,continuous_or_ordinal,15866,14747,1119,7.052817345266608,continuous_median_iqr,5.0,5.0,5.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS_V,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1119,7.052817345266608
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,162,1.0210513046766672
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__not_measured,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__sentinel,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,957,6.0317660405899405
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_V__invalid_or_out_of_range,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,0,0.0
medicine,P1,y_P1,train_2020_2023,0,EMT_車上_GCS_M,continuous_or_ordinal,15866,14747,1119,7.052817345266608,continuous_median_iqr,6.0,6.0,6.0,,
medicine,P1,y_P1,train_2020_2023,0,MISS_EMT_車上_GCS_M,missingness_indicator,15866,15866,0,0.0,binary_n_percent,,,,1119,7.052817345266608
medicine,P1,y_P1,train_2020_2023,0,MISSREASON_EMT_車上_GCS_M__source_missing,missing_reason_indicator,15866,15866,0,0.0,binary_n_percent,,,,162,1.0210513046766672
