split_year,outcome,outcome_value,feature,n,missing_n,missing_rate
2020,y_P1,0,MISSREASON_EMT_現場_GCS_E__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_E__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_現場_GCS_V,5270,186,0.0352941176470588
2020,y_P1,0,MISS_EMT_現場_GCS_V,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_V__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_V__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_V__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_V__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_現場_GCS_M,5270,186,0.0352941176470588
2020,y_P1,0,MISS_EMT_現場_GCS_M,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_M__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_M__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_M__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_現場_GCS_M__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_舒張壓,5270,225,0.0426944971537001
2020,y_P1,0,MISS_EMT_車上_舒張壓,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_舒張壓__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_舒張壓__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_舒張壓__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_舒張壓__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_脈搏,5270,151,0.0286527514231499
2020,y_P1,0,MISS_EMT_車上_脈搏,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_脈搏__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_脈搏__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_脈搏__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_脈搏__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_呼吸,5270,151,0.0286527514231499
2020,y_P1,0,MISS_EMT_車上_呼吸,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_呼吸__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_呼吸__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_呼吸__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_呼吸__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_SPO2,5270,150,0.0284629981024667
2020,y_P1,0,MISS_EMT_車上_SPO2,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_SPO2__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_SPO2__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_SPO2__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_SPO2__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_體溫,5270,157,0.0297912713472485
2020,y_P1,0,MISS_EMT_車上_體溫,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_體溫__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_體溫__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_體溫__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_體溫__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_GCS,5270,186,0.0352941176470588
2020,y_P1,0,MISS_EMT_車上_GCS,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_GCS_E,5270,186,0.0352941176470588
2020,y_P1,0,MISS_EMT_車上_GCS_E,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_E__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_E__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_E__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_E__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_GCS_V,5270,186,0.0352941176470588
2020,y_P1,0,MISS_EMT_車上_GCS_V,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_V__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_V__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_V__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_V__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_車上_GCS_M,5270,186,0.0352941176470588
2020,y_P1,0,MISS_EMT_車上_GCS_M,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_M__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_M__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_M__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_車上_GCS_M__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_生命徵象量測次數,5270,0,0.0
2020,y_P1,0,MISS_EMT_生命徵象量測次數,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_生命徵象量測次數__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_生命徵象量測次數__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_生命徵象量測次數__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_生命徵象量測次數__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_問卷_疼痛指數,5270,1571,0.2981024667931689
2020,y_P1,0,MISS_EMT_問卷_疼痛指數,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_疼痛指數__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_疼痛指數__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_疼痛指數__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_疼痛指數__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_問卷_左瞳孔尺寸mm,5270,172,0.0326375711574952
2020,y_P1,0,MISS_EMT_問卷_左瞳孔尺寸mm,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__sentinel,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_左瞳孔尺寸mm__invalid_or_out_of_range,5270,0,0.0
2020,y_P1,0,EMT_問卷_右瞳孔尺寸mm,5270,170,0.032258064516129
2020,y_P1,0,MISS_EMT_問卷_右瞳孔尺寸mm,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_右瞳孔尺寸mm__source_missing,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_右瞳孔尺寸mm__not_measured,5270,0,0.0
2020,y_P1,0,MISSREASON_EMT_問卷_右瞳孔尺寸mm__sentinel,5270,0,0.0
