outcome,target_column,analysis_split,outcome_value,feature,semantic_type,group_rows,n,missing_n,missing_percent,summary_type,median,q1,q3,count,percent
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_舒張壓,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,24646,100.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,14,0.05680434959019719
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,887,3.598961291893208
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_舒張壓__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,23745,96.34423435851659
P1,y_P1,train_2020_2023,0,EMT_現場_脈搏,continuous_or_ordinal,24646,23651,995,4.037166274446157,continuous_median_iqr,88.0,78.0,99.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_脈搏,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,995,4.037166274446157
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,11,0.04463198896372636
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,972,3.943844842976548
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_脈搏__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,12,0.04868944250588331
P1,y_P1,train_2020_2023,0,EMT_現場_呼吸,continuous_or_ordinal,24646,23653,993,4.029051367361844,continuous_median_iqr,18.0,18.0,18.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_呼吸,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,993,4.029051367361844
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,11,0.04463198896372636
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,972,3.943844842976548
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_呼吸__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,10,0.04057453542156942
P1,y_P1,train_2020_2023,0,EMT_現場_SPO2,continuous_or_ordinal,24646,23610,1036,4.203521869674592,continuous_median_iqr,98.0,96.0,99.0,,
P1,y_P1,train_2020_2023,0,MISS_EMT_現場_SPO2,missingness_indicator,24646,24646,0,0.0,binary_n_percent,,,,1036,4.203521869674592
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__source_missing,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,11,0.04463198896372636
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__not_measured,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,0,0.0
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__sentinel,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,982,3.984419378398117
P1,y_P1,train_2020_2023,0,MISSREASON_EMT_現場_SPO2__invalid_or_out_of_range,missing_reason_indicator,24646,24646,0,0.0,binary_n_percent,,,,43,0.17447050231274852
P1,y_P1,train_2020_2023,0,EMT_現場_體溫,continuous_or_ordinal,24646,23631,1015,4.118315345289297,continuous_median_iqr,36.2,36.0,36.7,,
