group,analysis_split,outcome,n,events,patient_groups,row_set_sha256,group_set_sha256
medicine,overall_le2024,S5,20765,441,16274,b31df2c755d698313bcbfaadb5bdf2a35313fff770376c7d51b5a54cbe4df8f9,1d37ecaf099e4cb101935a18b2e427f897960cb6602657ba6c8bc1cb7ff1b662
medicine,overall_le2024,S6,20765,1306,16274,b31df2c755d698313bcbfaadb5bdf2a35313fff770376c7d51b5a54cbe4df8f9,1d37ecaf099e4cb101935a18b2e427f897960cb6602657ba6c8bc1cb7ff1b662
surgery,train_2020_2023,P1,8731,9,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,train_2020_2023,P2,8731,120,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,train_2020_2023,P3,8731,56,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,train_2020_2023,S1,8731,33,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,train_2020_2023,S2,8731,52,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,train_2020_2023,S3,8731,1613,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,train_2020_2023,S4,8731,425,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
surgery,train_2020_2023,S5,8731,34,8433,8d1e3051000a39aedc99b63fdb659548869186cbf87a10499706e591229d3b80,cc9a949929dbb7e67a5b84b67ce43b424e2c48cd50a099218c047619e00c96df
