task_id,no_text_task_id,group,outcome,model,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,mixed_outcome_patient_groups,bootstrap_replicates,bootstrap_success,bootstrap_seed,bootstrap_method,group_stratum_rule,expected_group_multiplicity,legacy_overlapping_strata_ci,scope,source_id,source_candidate_sha256,source_acceptance_manifest_sha256,source_with_text_model_sha256
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,validation_2024,AUPRC_no_text,0.40764110133285025,0.31374328446223254,0.5041403261644745,ESTIMATED,4770,98,4071,16,2000,2000,588792146,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
P1_06-P1-mlp_plr,medicine_P1_mlp_plr_no_text,medicine,P1,mlp_plr,validation_2024,Delta_AUPRC_text_minus_no_text,-0.006139326772606368,-0.05972677885345304,0.05352364078697055,ESTIMATED,4770,98,4071,16,2000,2000,588792146,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P1_mlp_plr_no_text,b86ced1a7a5490db1d87919f1bf33773d4293f7fae2e23acfce6c9e39add6062,,5ac8defa1b15ed019858cf27e600e44ca8b06289a4cdc4d7cde2177351cc8733
P1_06-P2-ft_transformer,medicine_P2_ft_transformer_no_text,medicine,P2,ft_transformer,oof_2020_2023,AUPRC,0.42860716010054134,0.40551750844518786,0.4535277465373109,ESTIMATED,15995,1581,12203,443,2000,2000,2787971789,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_ft_transformer_no_text,e3c3da2d19a080e312dbf82132e5ac0bd6e4d5a986db0ac743036a5fc8c85eed,,fa390e34214d81d8737e6aa00b34fbf221669209cc0e68de0771fd09ffd10e3d
P1_06-P2-ft_transformer,medicine_P2_ft_transformer_no_text,medicine,P2,ft_transformer,oof_2020_2023,AUPRC_no_text,0.42994797708650695,0.4065240149573632,0.4547361237171003,ESTIMATED,15995,1581,12203,443,2000,2000,2787971789,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_ft_transformer_no_text,e3c3da2d19a080e312dbf82132e5ac0bd6e4d5a986db0ac743036a5fc8c85eed,,fa390e34214d81d8737e6aa00b34fbf221669209cc0e68de0771fd09ffd10e3d
P1_06-P2-ft_transformer,medicine_P2_ft_transformer_no_text,medicine,P2,ft_transformer,oof_2020_2023,Delta_AUPRC_text_minus_no_text,-0.0013408169859656094,-0.007225861738091791,0.004543129174614635,ESTIMATED,15995,1581,12203,443,2000,2000,2787971789,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_ft_transformer_no_text,e3c3da2d19a080e312dbf82132e5ac0bd6e4d5a986db0ac743036a5fc8c85eed,,fa390e34214d81d8737e6aa00b34fbf221669209cc0e68de0771fd09ffd10e3d
P1_06-P2-ft_transformer,medicine_P2_ft_transformer_no_text,medicine,P2,ft_transformer,validation_2024,AUPRC,0.5388266959051473,0.5011515768619957,0.5778674092012872,ESTIMATED,4770,568,4071,101,2000,2000,1804900530,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_ft_transformer_no_text,e3c3da2d19a080e312dbf82132e5ac0bd6e4d5a986db0ac743036a5fc8c85eed,,fa390e34214d81d8737e6aa00b34fbf221669209cc0e68de0771fd09ffd10e3d
P1_06-P2-ft_transformer,medicine_P2_ft_transformer_no_text,medicine,P2,ft_transformer,validation_2024,AUPRC_no_text,0.5391285111588968,0.5019296261759664,0.5780848905009331,ESTIMATED,4770,568,4071,101,2000,2000,1804900530,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_ft_transformer_no_text,e3c3da2d19a080e312dbf82132e5ac0bd6e4d5a986db0ac743036a5fc8c85eed,,fa390e34214d81d8737e6aa00b34fbf221669209cc0e68de0771fd09ffd10e3d
P1_06-P2-ft_transformer,medicine_P2_ft_transformer_no_text,medicine,P2,ft_transformer,validation_2024,Delta_AUPRC_text_minus_no_text,-0.00030181525374950446,-0.011276951906634275,0.01080539565805913,ESTIMATED,4770,568,4071,101,2000,2000,1804900530,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_ft_transformer_no_text,e3c3da2d19a080e312dbf82132e5ac0bd6e4d5a986db0ac743036a5fc8c85eed,,fa390e34214d81d8737e6aa00b34fbf221669209cc0e68de0771fd09ffd10e3d
P1_06-P2-mlp_plr,medicine_P2_mlp_plr_no_text,medicine,P2,mlp_plr,oof_2020_2023,AUPRC,0.45567262040324324,0.43201923915605384,0.4812916899715754,ESTIMATED,15995,1581,12203,443,2000,2000,3120969761,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_mlp_plr_no_text,6c901e5303b537f041eb6e5ce37e24e6f3f1b3718976361b120ac715379d1af2,,f1bbde8846d208df846d6e627d941ab501bbc2b4f8c6f41c111302e6455af13a
P1_06-P2-mlp_plr,medicine_P2_mlp_plr_no_text,medicine,P2,mlp_plr,oof_2020_2023,AUPRC_no_text,0.4473097319921205,0.42235912442684237,0.4721832068145888,ESTIMATED,15995,1581,12203,443,2000,2000,3120969761,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_mlp_plr_no_text,6c901e5303b537f041eb6e5ce37e24e6f3f1b3718976361b120ac715379d1af2,,f1bbde8846d208df846d6e627d941ab501bbc2b4f8c6f41c111302e6455af13a
P1_06-P2-mlp_plr,medicine_P2_mlp_plr_no_text,medicine,P2,mlp_plr,oof_2020_2023,Delta_AUPRC_text_minus_no_text,0.00836288841112276,0.0014250944874893117,0.015370122363201965,ESTIMATED,15995,1581,12203,443,2000,2000,3120969761,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_mlp_plr_no_text,6c901e5303b537f041eb6e5ce37e24e6f3f1b3718976361b120ac715379d1af2,,f1bbde8846d208df846d6e627d941ab501bbc2b4f8c6f41c111302e6455af13a
P1_06-P2-mlp_plr,medicine_P2_mlp_plr_no_text,medicine,P2,mlp_plr,validation_2024,AUPRC,0.5708797226606998,0.5324729804162617,0.6109558338204122,ESTIMATED,4770,568,4071,101,2000,2000,2992480374,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,current_opname_specialty,medicine_P2_mlp_plr_no_text,6c901e5303b537f041eb6e5ce37e24e6f3f1b3718976361b120ac715379d1af2,,f1bbde8846d208df846d6e627d941ab501bbc2b4f8c6f41c111302e6455af13a
