city,feature,n,missing_n,missing_rate
台北,MISS_EMT_車上_舒張壓,1453,0,0.0
台北,MISSREASON_EMT_車上_舒張壓__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_舒張壓__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_舒張壓__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_舒張壓__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_脈搏,1453,1453,1.0
台北,MISS_EMT_車上_脈搏,1453,0,0.0
台北,MISSREASON_EMT_車上_脈搏__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_脈搏__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_脈搏__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_脈搏__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_呼吸,1453,1453,1.0
台北,MISS_EMT_車上_呼吸,1453,0,0.0
台北,MISSREASON_EMT_車上_呼吸__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_呼吸__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_呼吸__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_呼吸__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_SPO2,1453,1453,1.0
台北,MISS_EMT_車上_SPO2,1453,0,0.0
台北,MISSREASON_EMT_車上_SPO2__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_SPO2__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_SPO2__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_SPO2__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_體溫,1453,1453,1.0
台北,MISS_EMT_車上_體溫,1453,0,0.0
台北,MISSREASON_EMT_車上_體溫__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_體溫__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_體溫__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_體溫__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_GCS,1453,24,0.0165175498967653
台北,MISS_EMT_車上_GCS,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_GCS_E,1453,10,0.0068823124569855
台北,MISS_EMT_車上_GCS_E,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_E__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_E__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_E__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_E__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_GCS_V,1453,23,0.0158293186510667
台北,MISS_EMT_車上_GCS_V,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_V__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_V__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_V__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_V__invalid_or_out_of_range,1453,0,0.0
台北,EMT_車上_GCS_M,1453,10,0.0068823124569855
台北,MISS_EMT_車上_GCS_M,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_M__source_missing,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_M__not_measured,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_M__sentinel,1453,0,0.0
台北,MISSREASON_EMT_車上_GCS_M__invalid_or_out_of_range,1453,0,0.0
台北,EMT_生命徵象量測次數,1453,1453,1.0
台北,MISS_EMT_生命徵象量測次數,1453,0,0.0
台北,MISSREASON_EMT_生命徵象量測次數__source_missing,1453,0,0.0
台北,MISSREASON_EMT_生命徵象量測次數__not_measured,1453,0,0.0
台北,MISSREASON_EMT_生命徵象量測次數__sentinel,1453,0,0.0
台北,MISSREASON_EMT_生命徵象量測次數__invalid_or_out_of_range,1453,0,0.0
台北,EMT_問卷_疼痛指數,1453,1453,1.0
台北,MISS_EMT_問卷_疼痛指數,1453,0,0.0
台北,MISSREASON_EMT_問卷_疼痛指數__source_missing,1453,0,0.0
台北,MISSREASON_EMT_問卷_疼痛指數__not_measured,1453,0,0.0
台北,MISSREASON_EMT_問卷_疼痛指數__sentinel,1453,0,0.0
台北,MISSREASON_EMT_問卷_疼痛指數__invalid_or_out_of_range,1453,0,0.0
台北,EMT_問卷_左瞳孔尺寸mm,1453,1453,1.0
台北,MISS_EMT_問卷_左瞳孔尺寸mm,1453,0,0.0
台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__source_missing,1453,0,0.0
台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__not_measured,1453,0,0.0
台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__sentinel,1453,0,0.0
台北,MISSREASON_EMT_問卷_左瞳孔尺寸mm__invalid_or_out_of_range,1453,0,0.0
台北,EMT_問卷_右瞳孔尺寸mm,1453,1453,1.0
台北,MISS_EMT_問卷_右瞳孔尺寸mm,1453,0,0.0
台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__source_missing,1453,0,0.0
台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__not_measured,1453,0,0.0
台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__sentinel,1453,0,0.0
台北,MISSREASON_EMT_問卷_右瞳孔尺寸mm__invalid_or_out_of_range,1453,0,0.0
台北,EMT_問卷_血糖值mgdl,1453,1453,1.0
台北,MISS_EMT_問卷_血糖值mgdl,1453,0,0.0
台北,MISSREASON_EMT_問卷_血糖值mgdl__source_missing,1453,0,0.0
台北,MISSREASON_EMT_問卷_血糖值mgdl__not_measured,1453,0,0.0
台北,MISSREASON_EMT_問卷_血糖值mgdl__sentinel,1453,0,0.0
台北,MISSREASON_EMT_問卷_血糖值mgdl__invalid_or_out_of_range,1453,0,0.0
台北,EMT_問卷_氧氣流量Lmin,1453,1453,1.0
台北,MISS_EMT_問卷_氧氣流量Lmin,1453,0,0.0
台北,MISSREASON_EMT_問卷_氧氣流量Lmin__source_missing,1453,0,0.0
台北,MISSREASON_EMT_問卷_氧氣流量Lmin__not_measured,1453,0,0.0
台北,MISSREASON_EMT_問卷_氧氣流量Lmin__sentinel,1453,0,0.0
台北,MISSREASON_EMT_問卷_氧氣流量Lmin__invalid_or_out_of_range,1453,0,0.0
台北,EMT_問卷_靜脈輸液量ml,1453,1453,1.0
台北,MISS_EMT_問卷_靜脈輸液量ml,1453,0,0.0
台北,MISSREASON_EMT_問卷_靜脈輸液量ml__source_missing,1453,0,0.0
台北,MISSREASON_EMT_問卷_靜脈輸液量ml__not_measured,1453,0,0.0
台北,MISSREASON_EMT_問卷_靜脈輸液量ml__sentinel,1453,0,0.0
台北,MISSREASON_EMT_問卷_靜脈輸液量ml__invalid_or_out_of_range,1453,0,0.0
台北,EMT_體重,1453,1453,1.0
台北,MISS_EMT_體重,1453,0,0.0
台北,MISSREASON_EMT_體重__source_missing,1453,0,0.0
台北,MISSREASON_EMT_體重__not_measured,1453,0,0.0
台北,MISSREASON_EMT_體重__sentinel,1453,0,0.0
台北,MISSREASON_EMT_體重__invalid_or_out_of_range,1453,0,0.0
台北,EMT_燒燙傷一級%,1453,1453,1.0
台北,MISS_EMT_燒燙傷一級%,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷一級%__source_missing,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷一級%__not_measured,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷一級%__sentinel,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷一級%__invalid_or_out_of_range,1453,0,0.0
台北,EMT_燒燙傷二級%,1453,1453,1.0
台北,MISS_EMT_燒燙傷二級%,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷二級%__source_missing,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷二級%__not_measured,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷二級%__sentinel,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷二級%__invalid_or_out_of_range,1453,0,0.0
台北,EMT_燒燙傷三級%,1453,1453,1.0
台北,MISS_EMT_燒燙傷三級%,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷三級%__source_missing,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷三級%__not_measured,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷三級%__sentinel,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷三級%__invalid_or_out_of_range,1453,0,0.0
台北,EMT_燒燙傷總%,1453,1453,1.0
台北,MISS_EMT_燒燙傷總%,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷總%__source_missing,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷總%__not_measured,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷總%__sentinel,1453,0,0.0
台北,MISSREASON_EMT_燒燙傷總%__invalid_or_out_of_range,1453,0,0.0
台北,EMT_城市__台北,1453,0,0.0
台北,EMT_城市__新北,1453,0,0.0
台北,EMT_城市__OTHER_RARE,1453,0,0.0
台北,EMT_城市__MISSING,1453,0,0.0
台北,EMT_性別__女,1453,0,0.0
台北,EMT_性別__男,1453,0,0.0
台北,EMT_性別__OTHER_RARE,1453,0,0.0
台北,EMT_性別__MISSING,1453,0,0.0
台北,EMT_送醫路由__家屬指定送醫,1453,0,0.0
台北,EMT_送醫路由__就近適當,1453,0,0.0
台北,EMT_送醫路由__指揮中心,1453,0,0.0
台北,EMT_送醫路由__OTHER_RARE,1453,0,0.0
台北,EMT_送醫路由__MISSING,1453,0,0.0
台北,EMT_危急個案__0.0,1453,0,0.0
台北,EMT_危急個案__1.0,1453,0,0.0
台北,EMT_危急個案__OTHER_RARE,1453,0,0.0
台北,EMT_危急個案__MISSING,1453,0,0.0
台北,EMT_發生地區__三峽區,1453,0,0.0
台北,EMT_發生地區__三重區,1453,0,0.0
台北,EMT_發生地區__中和區,1453,0,0.0
台北,EMT_發生地區__土城區,1453,0,0.0
台北,EMT_發生地區__坪林區,1453,0,0.0
台北,EMT_發生地區__市文山區,1453,0,0.0
台北,EMT_發生地區__新店區,1453,0,0.0
台北,EMT_發生地區__新莊區,1453,0,0.0
台北,EMT_發生地區__板橋區,1453,0,0.0
台北,EMT_發生地區__樹林區,1453,0,0.0
台北,EMT_發生地區__永和區,1453,0,0.0
台北,EMT_發生地區__深坑區,1453,0,0.0
台北,EMT_發生地區__烏來區,1453,0,0.0
台北,EMT_發生地區__石碇區,1453,0,0.0
台北,EMT_發生地區__蘆洲區,1453,0,0.0
台北,EMT_發生地區__OTHER_RARE,1453,0,0.0
台北,EMT_發生地區__MISSING,1453,0,0.0
台北,EMT_距離_定位信心__Google地標,1453,0,0.0
台北,EMT_距離_定位信心__區內概略,1453,0,0.0
台北,EMT_距離_定位信心__國道概略,1453,0,0.0
台北,EMT_距離_定位信心__無,1453,0,0.0
台北,EMT_距離_定位信心__號,1453,0,0.0
台北,EMT_距離_定位信心__路名概略(OSM),1453,0,0.0
台北,EMT_距離_定位信心__路段中心,1453,0,0.0
台北,EMT_距離_定位信心__OTHER_RARE,1453,0,0.0
台北,EMT_距離_定位信心__MISSING,1453,0,0.0
台北,EMT_現場_意識__否,1453,0,0.0
台北,EMT_現場_意識__清,1453,0,0.0
台北,EMT_現場_意識__痛,1453,0,0.0
台北,EMT_現場_意識__聲,1453,0,0.0
台北,EMT_現場_意識__OTHER_RARE,1453,0,0.0
台北,EMT_現場_意識__MISSING,1453,0,0.0
台北,EMT_派遣分類__BLS,1453,0,0.0
台北,EMT_派遣分類__OTHER_RARE,1453,0,0.0
台北,EMT_派遣分類__MISSING,1453,0,0.0
台北,EMT_派遣原因__救護,1453,0,0.0
台北,EMT_派遣原因__救護-一般受傷,1453,0,0.0
台北,EMT_派遣原因__救護-其它,1453,0,0.0
台北,EMT_派遣原因__救護-割腕,1453,0,0.0
台北,EMT_派遣原因__救護-吞食藥物,1453,0,0.0
台北,EMT_派遣原因__救護-孕婦待產,1453,0,0.0
台北,EMT_派遣原因__救護-急病,1453,0,0.0
台北,EMT_派遣原因__救護-打架受傷,1453,0,0.0
台北,EMT_派遣原因__救護-精神異常,1453,0,0.0
台北,EMT_派遣原因__救護-路倒,1453,0,0.0
台北,EMT_派遣原因__救護-車禍,1453,0,0.0
台北,EMT_派遣原因__火警-集合住宅,1453,0,0.0
台北,EMT_派遣原因__緊急救援-其他,1453,0,0.0
台北,EMT_派遣原因__緊急救援-車禍救助,1453,0,0.0
台北,EMT_派遣原因__OTHER_RARE,1453,0,0.0
台北,EMT_派遣原因__MISSING,1453,0,0.0
台北,EMT_問卷_創傷導致的主訴群__肢體麻痺,1453,0,0.0
台北,EMT_問卷_創傷導致的主訴群__背部疼痛,1453,0,0.0
台北,EMT_問卷_創傷導致的主訴群__胸痛/悶,1453,0,0.0
台北,EMT_問卷_創傷導致的主訴群__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_創傷導致的主訴群__MISSING,1453,0,0.0
台北,EMT_問卷_頸椎固定__GCS<15,1453,0,0.0
台北,EMT_問卷_頸椎固定__檢查無明顯異常,1453,0,0.0
台北,EMT_問卷_頸椎固定__肢體運動感覺異常,1453,0,0.0
台北,EMT_問卷_頸椎固定__轉向困難,1453,0,0.0
台北,EMT_問卷_頸椎固定__頸椎瘀青疼痛,1453,0,0.0
台北,EMT_問卷_頸椎固定__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_頸椎固定__MISSING,1453,0,0.0
台北,EMT_問卷_膚色__其他,1453,0,0.0
台北,EMT_問卷_膚色__正常,1453,0,0.0
台北,EMT_問卷_膚色__溼冷,1453,0,0.0
台北,EMT_問卷_膚色__潮紅,1453,0,0.0
台北,EMT_問卷_膚色__發紺,1453,0,0.0
台北,EMT_問卷_膚色__蒼白,1453,0,0.0
台北,EMT_問卷_膚色__蒼白、溼冷,1453,0,0.0
台北,EMT_問卷_膚色__黃疸,1453,0,0.0
台北,EMT_問卷_膚色__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_膚色__MISSING,1453,0,0.0
台北,EMT_問卷_左瞳孔光反射__+,1453,0,0.0
台北,EMT_問卷_左瞳孔光反射__-,1453,0,0.0
台北,EMT_問卷_左瞳孔光反射__無法測量,1453,0,0.0
台北,EMT_問卷_左瞳孔光反射__眼疾,1453,0,0.0
台北,EMT_問卷_左瞳孔光反射__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_左瞳孔光反射__MISSING,1453,0,0.0
台北,EMT_問卷_右瞳孔光反射__+,1453,0,0.0
台北,EMT_問卷_右瞳孔光反射__-,1453,0,0.0
台北,EMT_問卷_右瞳孔光反射__無法測量,1453,0,0.0
台北,EMT_問卷_右瞳孔光反射__眼疾,1453,0,0.0
台北,EMT_問卷_右瞳孔光反射__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_右瞳孔光反射__MISSING,1453,0,0.0
台北,EMT_問卷_氣管位置__其他,1453,0,0.0
台北,EMT_問卷_氣管位置__正常,1453,0,0.0
台北,EMT_問卷_氣管位置__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_氣管位置__MISSING,1453,0,0.0
台北,EMT_問卷_頸靜脈怒張__其他,1453,0,0.0
台北,EMT_問卷_頸靜脈怒張__有,1453,0,0.0
台北,EMT_問卷_頸靜脈怒張__無,1453,0,0.0
台北,EMT_問卷_頸靜脈怒張__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_頸靜脈怒張__MISSING,1453,0,0.0
台北,EMT_問卷_血糖狀態__High,1453,0,0.0
台北,EMT_問卷_血糖狀態__Low,1453,0,0.0
台北,EMT_問卷_血糖狀態__否,1453,0,0.0
台北,EMT_問卷_血糖狀態__否、其他,1453,0,0.0
台北,EMT_問卷_血糖狀態__否、創傷,1453,0,0.0
台北,EMT_問卷_血糖狀態__否、拒絕,1453,0,0.0
台北,EMT_問卷_血糖狀態__否、躁動,1453,0,0.0
台北,EMT_問卷_血糖狀態__血糖值紀錄,1453,0,0.0
台北,EMT_問卷_血糖狀態__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_血糖狀態__MISSING,1453,0,0.0
台北,EMT_問卷_靜脈輸液種類__0.9%N.S.,1453,0,0.0
台北,EMT_問卷_靜脈輸液種類__5%G.W.,1453,0,0.0
台北,EMT_問卷_靜脈輸液種類__50%G.W.,1453,0,0.0
台北,EMT_問卷_靜脈輸液種類__IV,1453,0,0.0
台北,EMT_問卷_靜脈輸液種類__OTHER_RARE,1453,0,0.0
台北,EMT_問卷_靜脈輸液種類__MISSING,1453,0,0.0
台北,EMT_推定派遣類別__中毒/自傷,1453,0,0.0
台北,EMT_推定派遣類別__交通事故傷,1453,0,0.0
台北,EMT_推定派遣類別__內科急病,1453,0,0.0
台北,EMT_推定派遣類別__其他外傷,1453,0,0.0
台北,EMT_推定派遣類別__精神行為異常,1453,0,0.0
台北,EMT_推定派遣類別__路倒/無意識,1453,0,0.0
台北,EMT_推定派遣類別__OTHER_RARE,1453,0,0.0
台北,EMT_推定派遣類別__MISSING,1453,0,0.0
