task_id,no_text_task_id,group,outcome,model,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,mixed_outcome_patient_groups,bootstrap_replicates,bootstrap_success,bootstrap_seed,bootstrap_method,group_stratum_rule,expected_group_multiplicity,legacy_overlapping_strata_ci,scope,source_id,source_candidate_sha256,source_acceptance_manifest_sha256,source_with_text_model_sha256
P1_05a-P1-mlp_plr,overall_legacy_P1_mlp_plr_no_text,overall,P1,mlp_plr,validation_2024,AUPRC_no_text,0.39814638960346993,0.30927315972707137,0.49826567942092787,ESTIMATED,7504,107,6600,17,2000,2000,461655894,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P1_mlp_plr_no_text,,4bc03efbeecf3465ac3f99d222e74f2f66233fe25c9582f77a83c5716a8e9b25,e12ce512bbd83ec0e6ea2e5ad4c16592adbde6f338dfa9b80f4f5f86cc8eb6fa
P1_05a-P1-mlp_plr,overall_legacy_P1_mlp_plr_no_text,overall,P1,mlp_plr,validation_2024,Delta_AUPRC_text_minus_no_text,0.03124843043296055,0.0037378579455673413,0.057991262591035764,ESTIMATED,7504,107,6600,17,2000,2000,461655894,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P1_mlp_plr_no_text,,4bc03efbeecf3465ac3f99d222e74f2f66233fe25c9582f77a83c5716a8e9b25,e12ce512bbd83ec0e6ea2e5ad4c16592adbde6f338dfa9b80f4f5f86cc8eb6fa
P1_05a-P2-ft_transformer,overall_legacy_P2_ft_transformer_no_text,overall,P2,ft_transformer,oof_2020_2023,AUPRC,0.4190040203978956,0.397435368925761,0.44386619958636,ESTIMATED,24784,1701,19944,505,2000,2000,4005526757,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_ft_transformer_no_text,,99889fdf3c85fd3a0dd153003618f60f81b7ddf7189837add6d0671cba09d585,41f5fd7cbc44197fdd003c40d9a73e7d245ca3db800f61b21c24a43fbc96b066
P1_05a-P2-ft_transformer,overall_legacy_P2_ft_transformer_no_text,overall,P2,ft_transformer,oof_2020_2023,AUPRC_no_text,0.4120028529094242,0.39011465596072453,0.4372937119500431,ESTIMATED,24784,1701,19944,505,2000,2000,4005526757,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_ft_transformer_no_text,,99889fdf3c85fd3a0dd153003618f60f81b7ddf7189837add6d0671cba09d585,41f5fd7cbc44197fdd003c40d9a73e7d245ca3db800f61b21c24a43fbc96b066
P1_05a-P2-ft_transformer,overall_legacy_P2_ft_transformer_no_text,overall,P2,ft_transformer,oof_2020_2023,Delta_AUPRC_text_minus_no_text,0.007001167488471405,0.00018926110049621864,0.013658965651667597,ESTIMATED,24784,1701,19944,505,2000,2000,4005526757,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_ft_transformer_no_text,,99889fdf3c85fd3a0dd153003618f60f81b7ddf7189837add6d0671cba09d585,41f5fd7cbc44197fdd003c40d9a73e7d245ca3db800f61b21c24a43fbc96b066
P1_05a-P2-ft_transformer,overall_legacy_P2_ft_transformer_no_text,overall,P2,ft_transformer,validation_2024,AUPRC,0.5439227796015826,0.5052249893994863,0.5813397936460456,ESTIMATED,7504,609,6600,114,2000,2000,2932089264,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_ft_transformer_no_text,,99889fdf3c85fd3a0dd153003618f60f81b7ddf7189837add6d0671cba09d585,41f5fd7cbc44197fdd003c40d9a73e7d245ca3db800f61b21c24a43fbc96b066
P1_05a-P2-ft_transformer,overall_legacy_P2_ft_transformer_no_text,overall,P2,ft_transformer,validation_2024,AUPRC_no_text,0.5379156897520284,0.5002652865151338,0.573980678696154,ESTIMATED,7504,609,6600,114,2000,2000,2932089264,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_ft_transformer_no_text,,99889fdf3c85fd3a0dd153003618f60f81b7ddf7189837add6d0671cba09d585,41f5fd7cbc44197fdd003c40d9a73e7d245ca3db800f61b21c24a43fbc96b066
P1_05a-P2-ft_transformer,overall_legacy_P2_ft_transformer_no_text,overall,P2,ft_transformer,validation_2024,Delta_AUPRC_text_minus_no_text,0.006007089849554226,-0.004608860740694984,0.016308295670269746,ESTIMATED,7504,609,6600,114,2000,2000,2932089264,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_ft_transformer_no_text,,99889fdf3c85fd3a0dd153003618f60f81b7ddf7189837add6d0671cba09d585,41f5fd7cbc44197fdd003c40d9a73e7d245ca3db800f61b21c24a43fbc96b066
P1_05a-P2-mlp_plr,overall_legacy_P2_mlp_plr_no_text,overall,P2,mlp_plr,oof_2020_2023,AUPRC,0.4471205706478859,0.42571576639835373,0.47122710779796356,ESTIMATED,24784,1701,19944,505,2000,2000,633056122,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_mlp_plr_no_text,,912674d4012029985a3236f32b1d1b18d46b4dca0345fd46e8c779354476b07d,8ee476c461d25e1ae03af509a06cab8affd6b41cfa0857a4e96ae92b8eb1cc86
P1_05a-P2-mlp_plr,overall_legacy_P2_mlp_plr_no_text,overall,P2,mlp_plr,oof_2020_2023,AUPRC_no_text,0.44356225672780913,0.4219744274739408,0.4677020392038594,ESTIMATED,24784,1701,19944,505,2000,2000,633056122,outcome_stratified_disjoint_patient_cluster_shared_paired_draws,max(y) within split,1,SUPERSEDED_RETAINED_FOR_AUDIT,earlier_strict_v2_overall_stage3a,overall_legacy_P2_mlp_plr_no_text,,912674d4012029985a3236f32b1d1b18d46b4dca0345fd46e8c779354476b07d,8ee476c461d25e1ae03af509a06cab8affd6b41cfa0857a4e96ae92b8eb1cc86
