split_year,feature,n,missing_n,missing_rate
2020,MISS_EMT_車上_舒張壓,5305,0,0.0
2020,MISSREASON_EMT_車上_舒張壓__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_舒張壓__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_舒張壓__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_舒張壓__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_脈搏,5305,169,0.0318567389255419
2020,MISS_EMT_車上_脈搏,5305,0,0.0
2020,MISSREASON_EMT_車上_脈搏__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_脈搏__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_脈搏__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_脈搏__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_呼吸,5305,169,0.0318567389255419
2020,MISS_EMT_車上_呼吸,5305,0,0.0
2020,MISSREASON_EMT_車上_呼吸__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_呼吸__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_呼吸__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_呼吸__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_SPO2,5305,168,0.0316682375117813
2020,MISS_EMT_車上_SPO2,5305,0,0.0
2020,MISSREASON_EMT_車上_SPO2__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_SPO2__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_SPO2__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_SPO2__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_體溫,5305,175,0.0329877474081055
2020,MISS_EMT_車上_體溫,5305,0,0.0
2020,MISSREASON_EMT_車上_體溫__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_體溫__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_體溫__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_體溫__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_GCS,5305,204,0.038454288407163
2020,MISS_EMT_車上_GCS,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_GCS_E,5305,204,0.038454288407163
2020,MISS_EMT_車上_GCS_E,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_E__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_E__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_E__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_E__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_GCS_V,5305,204,0.038454288407163
2020,MISS_EMT_車上_GCS_V,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_V__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_V__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_V__sentinel,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_V__invalid_or_out_of_range,5305,0,0.0
2020,EMT_車上_GCS_M,5305,204,0.038454288407163
2020,MISS_EMT_車上_GCS_M,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_M__source_missing,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_M__not_measured,5305,0,0.0
2020,MISSREASON_EMT_車上_GCS_M__sentinel,5305,0,0.0
