outcome,model,model_family,curve_type,grid_prediction,observed_probability,lower_ci,upper_ci,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,status,kernel_bandwidth_logit,n,events,validation_cohort_n,coverage_rate,source_id
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0009434362870251879,0.000823153393387968,7.382789712398571e-09,0.00240670155734451,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0011437046236157477,0.0008177684916955448,1.0510135938690715e-07,0.002216519392888453,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.001379343632800866,0.0008708497016221073,1.0392824051616575e-06,0.0021967904593180694,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0017066799881277528,0.0011023698485310813,1.0251543712891386e-05,0.002918382706862739,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0021533419239039833,0.0014496839037999533,5.2147065328561734e-05,0.003661999138003836,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.002688906470728857,0.0018182343896722452,0.00017852846746494952,0.00428114431085785,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0035094343846940887,0.0028361783996091287,0.00075826602631846,0.005629666975219656,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.004968964390727929,0.007086671258745691,0.003023384991885665,0.011809325475200725,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.007304481589632587,0.014851271231518692,0.008121704693638971,0.022207140155091017,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.010534646691827498,0.02227348973925023,0.013961065498523691,0.031004852683066946,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.0170669034111841,0.04079496673866936,0.027943449397314725,0.05486785858069647,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.03535661044514902,0.061310751878955856,0.04141061086980874,0.08297466062580613,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
P1,balanced_random_forest__platt,common_ml,flexible_kernel,0.13814465869750012,0.24657463047711609,0.18357803456163113,0.3091992576538105,2000,2000,0,1900,ESTIMATED,0.3410681384767975,7504.0,107.0,7504,1.0,s0010
