analysis_split,method,feature_x,feature_y,feature_x_group,feature_y_group,pair_n,correlation
train_2020_2023,pearson,prehosp_dbp,prehosp_gcs_m,vital,vital,22424,0.0710674880429276
train_2020_2023,pearson,prehosp_dbp,MAP,vital,derived_score,22573,0.9234746300157164
train_2020_2023,pearson,prehosp_dbp,SI,vital,derived_score,22573,-0.3805388121834977
train_2020_2023,pearson,prehosp_dbp,mSI,vital,derived_score,22573,-0.5107597362904408
train_2020_2023,pearson,prehosp_dbp,aSI,vital,derived_score,22567,-0.2562731083348343
train_2020_2023,pearson,prehosp_dbp,rSI,vital,derived_score,22573,0.35111918647830315
train_2020_2023,pearson,prehosp_dbp,rSIG,vital,derived_score,22424,0.3205977638028439
train_2020_2023,pearson,prehosp_dbp,rSIG_Age,vital,derived_score,22418,0.11623864264090522
train_2020_2023,pearson,prehosp_dbp,SI_G,vital,derived_score,22424,-0.22919864063531017
train_2020_2023,pearson,prehosp_dbp,SIA_G,vital,derived_score,22418,-0.19253555371500977
train_2020_2023,pearson,prehosp_dbp,SIAVPU,vital,derived_score,22573,-0.2836809269091018
train_2020_2023,pearson,prehosp_dbp,sMS,vital,derived_score,22424,0.08364833205538047
train_2020_2023,pearson,prehosp_dbp,rSI_sMS,vital,derived_score,22424,0.31763504923328045
train_2020_2023,pearson,prehosp_dbp,rSI_GCS,vital,derived_score,22424,0.3205977638028438
train_2020_2023,pearson,prehosp_dbp,rSI_GCSM,vital,derived_score,22424,0.32043582897526507
train_2020_2023,pearson,prehosp_dbp,qSOFA,vital,derived_score,22573,-0.24072242252444262
train_2020_2023,pearson,prehosp_dbp,NEWS2,vital,derived_score,2812,-0.19343636433427366
train_2020_2023,pearson,prehosp_dbp,MEWS,vital,derived_score,22573,-0.03910280997734363
train_2020_2023,pearson,prehosp_dbp,REMS,vital,derived_score,22418,0.13550029239615344
train_2020_2023,pearson,prehosp_dbp,RTS,vital,derived_score,22424,0.13174887009581235
train_2020_2023,pearson,prehosp_hr,prehosp_rr,vital,vital,23852,0.21117894428842549
train_2020_2023,pearson,prehosp_hr,prehosp_spo2,vital,vital,23847,-0.09450405774757613
train_2020_2023,pearson,prehosp_hr,prehosp_bt,vital,vital,23847,0.25383118002430144
train_2020_2023,pearson,prehosp_hr,prehosp_gcs,vital,vital,23692,-0.08640259379477344
train_2020_2023,pearson,prehosp_hr,prehosp_gcs_m,vital,vital,23694,-0.07661871881998925
train_2020_2023,pearson,prehosp_hr,MAP,vital,derived_score,22573,0.11618044786085466
train_2020_2023,pearson,prehosp_hr,SI,vital,derived_score,23845,0.626600126285538
train_2020_2023,pearson,prehosp_hr,mSI,vital,derived_score,22573,0.680876333995504
train_2020_2023,pearson,prehosp_hr,aSI,vital,derived_score,23833,0.4047929151544254
train_2020_2023,pearson,prehosp_hr,rSI,vital,derived_score,23845,-0.6180982235072513
train_2020_2023,pearson,prehosp_hr,rSIG,vital,derived_score,23685,-0.5525906160875078
train_2020_2023,pearson,prehosp_hr,rSIG_Age,vital,derived_score,23673,-0.2745030071678825
train_2020_2023,pearson,prehosp_hr,SI_G,vital,derived_score,23685,0.3328587904125429
train_2020_2023,pearson,prehosp_hr,SIA_G,vital,derived_score,23673,0.25639113494943716
train_2020_2023,pearson,prehosp_hr,SIAVPU,vital,derived_score,23845,0.5394572035479042
train_2020_2023,pearson,prehosp_hr,sMS,vital,derived_score,23694,-0.09284659033041648
train_2020_2023,pearson,prehosp_hr,rSI_sMS,vital,derived_score,23687,-0.5463431747095998
train_2020_2023,pearson,prehosp_hr,rSI_GCS,vital,derived_score,23685,-0.5525906160875078
train_2020_2023,pearson,prehosp_hr,rSI_GCSM,vital,derived_score,23687,-0.5564342320346818
train_2020_2023,pearson,prehosp_hr,qSOFA,vital,derived_score,23845,0.1306529350080817
train_2020_2023,pearson,prehosp_hr,NEWS2,vital,derived_score,3039,0.3447830178392467
train_2020_2023,pearson,prehosp_hr,MEWS,vital,derived_score,23842,0.544301305973802
train_2020_2023,pearson,prehosp_hr,REMS,vital,derived_score,22418,0.10963526083286658
train_2020_2023,pearson,prehosp_hr,RTS,vital,derived_score,23685,-0.0798875370185294
train_2020_2023,pearson,prehosp_rr,prehosp_spo2,vital,vital,23847,-0.2132856060691383
train_2020_2023,pearson,prehosp_rr,prehosp_bt,vital,vital,23847,0.11455714199724501
train_2020_2023,pearson,prehosp_rr,prehosp_gcs,vital,vital,23692,-0.2104543811117507
train_2020_2023,pearson,prehosp_rr,prehosp_gcs_m,vital,vital,23694,-0.19400125409241384
train_2020_2023,pearson,prehosp_rr,MAP,vital,derived_score,22573,-0.0010173876055846003
train_2020_2023,pearson,prehosp_rr,SI,vital,derived_score,23845,0.17375918894155443
train_2020_2023,pearson,prehosp_rr,mSI,vital,derived_score,22573,0.17940331111566243
train_2020_2023,pearson,prehosp_rr,aSI,vital,derived_score,23833,0.23473855451269585
train_2020_2023,pearson,prehosp_rr,rSI,vital,derived_score,23845,-0.12219949905825105
train_2020_2023,pearson,prehosp_rr,rSIG,vital,derived_score,23685,-0.18812528334816037
train_2020_2023,pearson,prehosp_rr,rSIG_Age,vital,derived_score,23673,-0.17054330174114868
train_2020_2023,pearson,prehosp_rr,SI_G,vital,derived_score,23685,0.24212678434565124
train_2020_2023,pearson,prehosp_rr,SIA_G,vital,derived_score,23673,0.2660741496713244
train_2020_2023,pearson,prehosp_rr,SIAVPU,vital,derived_score,23845,0.042795838455553355
train_2020_2023,pearson,prehosp_rr,sMS,vital,derived_score,23694,-0.21133359209896563
train_2020_2023,pearson,prehosp_rr,rSI_sMS,vital,derived_score,23687,-0.19127439617898762
train_2020_2023,pearson,prehosp_rr,rSI_GCS,vital,derived_score,23685,-0.1881252833481604
train_2020_2023,pearson,prehosp_rr,rSI_GCSM,vital,derived_score,23687,-0.1800740979775608
train_2020_2023,pearson,prehosp_rr,qSOFA,vital,derived_score,23845,0.5314540942281452
train_2020_2023,pearson,prehosp_rr,NEWS2,vital,derived_score,3039,0.4778123718740392
train_2020_2023,pearson,prehosp_rr,MEWS,vital,derived_score,23842,0.4555093711783808
train_2020_2023,pearson,prehosp_rr,REMS,vital,derived_score,22418,0.2296660228764959
train_2020_2023,pearson,prehosp_rr,RTS,vital,derived_score,23685,-0.22422635277427863
train_2020_2023,pearson,prehosp_spo2,prehosp_bt,vital,vital,23844,-0.10654573061150084
train_2020_2023,pearson,prehosp_spo2,prehosp_gcs,vital,vital,23687,0.24650530495512568
train_2020_2023,pearson,prehosp_spo2,prehosp_gcs_m,vital,vital,23689,0.23020550272019008
train_2020_2023,pearson,prehosp_spo2,MAP,vital,derived_score,22573,0.08605157330442799
train_2020_2023,pearson,prehosp_spo2,SI,vital,derived_score,23843,-0.1581832762210039
train_2020_2023,pearson,prehosp_spo2,mSI,vital,derived_score,22573,-0.15385101881709912
train_2020_2023,pearson,prehosp_spo2,aSI,vital,derived_score,23831,-0.2719623927789839
train_2020_2023,pearson,prehosp_spo2,rSI,vital,derived_score,23843,0.10970771425795678
train_2020_2023,pearson,prehosp_spo2,rSIG,vital,derived_score,23683,0.1909341980825599
train_2020_2023,pearson,prehosp_spo2,rSIG_Age,vital,derived_score,23671,0.22580332400640535
train_2020_2023,pearson,prehosp_spo2,SI_G,vital,derived_score,23683,-0.2713510938075906
train_2020_2023,pearson,prehosp_spo2,SIA_G,vital,derived_score,23671,-0.30972034349598054
train_2020_2023,pearson,prehosp_spo2,SIAVPU,vital,derived_score,23843,-0.00992123891546838
train_2020_2023,pearson,prehosp_spo2,sMS,vital,derived_score,23689,0.23851895555039274
train_2020_2023,pearson,prehosp_spo2,rSI_sMS,vital,derived_score,23685,0.19094638125470892
train_2020_2023,pearson,prehosp_spo2,rSI_GCS,vital,derived_score,23683,0.1909341980825599
train_2020_2023,pearson,prehosp_spo2,rSI_GCSM,vital,derived_score,23685,0.18287611095329562
train_2020_2023,pearson,prehosp_spo2,qSOFA,vital,derived_score,23843,-0.2997444400243294
train_2020_2023,pearson,prehosp_spo2,NEWS2,vital,derived_score,3039,-0.5163688506602387
train_2020_2023,pearson,prehosp_spo2,MEWS,vital,derived_score,23840,-0.2779250587913571
train_2020_2023,pearson,prehosp_spo2,REMS,vital,derived_score,22418,-0.29750458757827924
train_2020_2023,pearson,prehosp_spo2,RTS,vital,derived_score,23683,0.26345994072006396
train_2020_2023,pearson,prehosp_bt,prehosp_gcs,vital,vital,23687,-0.11831175965385542
