entity_id,group,outcome,model,model_sha256,bound_document_count,recorded_field_count,seed,final_fit_rows,context_rows,context_row_policy,runtime_packages,stack_member_order
v2|S5|overall|lightgbm,overall,S5,lightgbm,3f1719e7b08ec72aeb6835743dd8b085178c081a8df87f4fbfac6ab7a3233f95,8,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S5|overall|bert_finetuned,overall,S5,bert_finetuned,315a240c097261dd5978775f3e292910a2240ed3177430bbe05326fdc7eca937,22,4,20260715.0,,,,,
v2|S5|overall|mlp_plr,overall,S5,mlp_plr,41335e6cf3abe33c7fac53f302ca972ad6af5f2b239c80db3c69d385e4476f25,18,2,20260715.0,,,,,
v2|S5|overall|ft_transformer,overall,S5,ft_transformer,85bcb983024910a05e32775bb978fd8f854918219a510910ec0f626af16b0d08,30,2,20260715.0,,,,,
v2|S5|overall|cnn_1d,overall,S5,cnn_1d,6c521ec19aa050386070f7c022dc26f5940bb5e6641d53a04b72cea35bf0174a,11,1,,,,,,
v2|S5|overall|tabpfn,overall,S5,tabpfn,13d8e3a3cd240f29edb74ea02e8f6cc9e2298b8f27c074c26d5f12859c68b258,8,8,,,,full_or_model_limit,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S5|overall|tabicl,overall,S5,tabicl,e3fa6bee80780f5cfc9b93ccbc9911aa33fbec7bace5b68b29eaa91986155d3f,8,8,,,,half_model_limit,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S5|overall|stacking,overall,S5,stacking,df9c8b555c2d226faa7e8aca45b4704423b2ae078c2a7f33b2e1160fee4f5235,9,2,,,,,,"[""logistic_l2"",""catboost"",""xgboost"",""lightgbm"",""balanced_random_forest"",""bert_finetuned"",""mlp_plr"",""ft_transformer"",""cnn_1d"",""tabpfn_finetuned"",""tabicl""]"
v2|S6|overall|rSI_sMS,overall,S6,rSI_sMS,97f2e37c97a7e8fc734ba6358974823cbb90f93a1d8322d4b447c5202c5d765b,7,3,20260710.0,,,,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S6|overall|logistic_regression,overall,S6,logistic_regression,83fc0d85a033e5b54b2179bb8d2c70436b8d4a49f85c0b09486ef0ef30282eb4,7,3,20260710.0,,,,"{""numpy"":""2.4.4"",""pandas"":""2.3.3"",""scikit-learn"":""1.8.0"",""imbalanced-learn"":""0.14.2"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S6|overall|catboost,overall,S6,catboost,46b8a1d4f5953f9fd308a084f03f2087c3e9618e880ad33a56de84e0859a46e0,7,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S6|overall|xgboost,overall,S6,xgboost,f88757747ffde35033638b7894ca8c5e1d7decbde0c28c8872a1691c11e1db03,7,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S6|overall|lightgbm,overall,S6,lightgbm,e875628793a5fdc1f95b0e9c0ca9fff0d8e82acdfb0b3930d431fee0c7914809,8,6,,24784.0,,,"{""numpy"":""2.0.2"",""pandas"":""2.3.3"",""scikit-learn"":""1.6.1"",""imbalanced-learn"":""0.14.1"",""xgboost"":""3.2.0"",""lightgbm"":""4.6.0"",""catboost"":""1.2.10"",""optuna"":""4.9.0"",""joblib"":""1.5.3""}",
v2|S6|overall|bert_finetuned,overall,S6,bert_finetuned,cdb1916b5b5b1d28c4932fa48ed430de93438e25331cec927622db88e01dedef,22,4,20260715.0,,,,,
