id,group,outcome,model,role,trained_population,target_n,missing_target_rows,coverage,n,events,AUROC,AUPRC,Brier,prevalence
surgery_P1_score_rSIG_Age,surgery,P1,score_rSIG_Age,overall_trained_single_score_logistic_probability,overall,2712,27,score_component_available_subset_of_current_cohort,2685,2,0.8352590383898622,0.008077816296994379,0.09622997398482752,0.0007448789571694599
overall_P1_score_SIA_G,overall,P1,score_SIA_G,overall_trained_single_score_logistic_probability,overall,7289,13,score_component_available_subset_of_current_cohort,7276,60,0.9099039172209904,0.08565112688994159,0.14197926506497366,0.008246289169873557
medicine_P1_score_SIA_G,medicine,P1,score_SIA_G,overall_trained_single_score_logistic_probability,overall,4770,201,score_component_available_subset_of_current_cohort,4569,58,0.8873175914813598,0.09179587022579856,0.1720718195713201,0.012694243817027795
surgery_P1_score_SIA_G,surgery,P1,score_SIA_G,overall_trained_single_score_logistic_probability,overall,2712,27,score_component_available_subset_of_current_cohort,2685,2,0.8352590383898622,0.008077816296994379,0.09151589652714368,0.0007448789571694599
overall_P1_score_SI_G,overall,P1,score_SI_G,overall_trained_single_score_logistic_probability,overall,7289,7,score_component_available_subset_of_current_cohort,7282,60,0.881654435521093,0.07487532411642682,0.15933450946331373,0.008239494644328481
medicine_P1_score_SI_G,medicine,P1,score_SI_G,overall_trained_single_score_logistic_probability,overall,4770,198,score_component_available_subset_of_current_cohort,4572,58,0.8693795547950438,0.08058779222669803,0.17940262545242333,0.01268591426071741
surgery_P1_score_SI_G,surgery,P1,score_SI_G,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,2,0.5403946388682055,0.03886804252657911,0.1253859534449592,0.000744047619047619
overall_P1_score_SI,overall,P1,score_SI,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,60,0.7390683358694149,0.02674575611767498,0.22886674523494013,0.00823158183564275
medicine_P1_score_SI,medicine,P1,score_SI,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,59,0.7416358325941815,0.03564946639414824,0.24013289386929204,0.012753999135322092
surgery_P1_score_SI,surgery,P1,score_SI,overall_trained_single_score_logistic_probability,overall,2712,23,score_component_available_subset_of_current_cohort,2689,2,0.07182731671008555,0.0005970473295701259,0.20993414703668858,0.0007437709185570844
overall_P1_score_mSI,overall,P1,score_mSI,overall_trained_single_score_logistic_probability,overall,7289,981,score_component_available_subset_of_current_cohort,6308,47,0.7988102641478656,0.044082233505381874,0.21626674810476632,0.007450856055802156
medicine_P1_score_mSI,medicine,P1,score_mSI,overall_trained_single_score_logistic_probability,overall,4770,764,score_component_available_subset_of_current_cohort,4006,46,0.8027942468159859,0.05048313933242345,0.2299021908440151,0.011482775836245632
surgery_P1_score_mSI,surgery,P1,score_mSI,overall_trained_single_score_logistic_probability,overall,2712,382,score_component_available_subset_of_current_cohort,2330,2,0.0779639175257732,0.0006922718686004439,0.19361777931686494,0.0008583690987124463
overall_P1_score_aSI,overall,P1,score_aSI,overall_trained_single_score_logistic_probability,overall,7289,6,score_component_available_subset_of_current_cohort,7283,60,0.8427453966495916,0.04177556576679695,0.19372404995078535,0.008238363311822051
medicine_P1_score_aSI,medicine,P1,score_aSI,overall_trained_single_score_logistic_probability,overall,4770,147,score_component_available_subset_of_current_cohort,4623,59,0.825153374233129,0.04968844374271137,0.23181697707400678,0.012762275578628596
surgery_P1_score_aSI,surgery,P1,score_aSI,overall_trained_single_score_logistic_probability,overall,2712,26,score_component_available_subset_of_current_cohort,2686,2,0.4178464977645306,0.0010682054367445167,0.13186478476136268,0.0007446016381236039
