id,group,outcome,model,alias_of,trained_population,evaluation_population,split,coverage,target_n,row_set_sha256,metric,value,lower_ci,upper_ci,status,reason,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_minimum_success_required,bootstrap_method,seed,derived_seed,model_point_value
overall_P1_logistic_l1,overall,P1,logistic_l1,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.04485049346018437,0.040826379221274155,0.049039808079695,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,7486526,0.04485049346018437
overall_P1_logistic_l2,overall,P1,logistic_l2,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.7732143680545949,0.7109189549914361,0.8279679807676235,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,,,0.7732143680545949
overall_P1_logistic_l2,overall,P1,logistic_l2,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.07386469797937395,0.03828818207600993,0.15300454682162376,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,,,0.07386469797937395
overall_P1_logistic_l2,overall,P1,logistic_l2,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.04749436606522881,0.04331589791227939,0.0516400050888445,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,,,0.04749436606522881
overall_P1_score_NEWS2,overall,P1,score_NEWS2,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,6ea8110fbed2854cedba7719b2c2ed93b0b705aa8c57916349705deaa0883f80,AUROC,0.7292811839323466,0.6578186631873717,0.7907392458910577,ESTIMATED,,1033,43,943,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,224752911,0.7292811839323466
overall_P1_score_NEWS2,overall,P1,score_NEWS2,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,6ea8110fbed2854cedba7719b2c2ed93b0b705aa8c57916349705deaa0883f80,AUPRC,0.10761516790070563,0.06826876170325774,0.17855052696394172,ESTIMATED,,1033,43,943,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,224752911,0.10761516790070563
overall_P1_score_NEWS2,overall,P1,score_NEWS2,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,6ea8110fbed2854cedba7719b2c2ed93b0b705aa8c57916349705deaa0883f80,Brier,0.21277931766159697,0.20335434374317893,0.22307269422477496,ESTIMATED,,1033,43,943,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,224752911,0.21277931766159697
overall_P1_score_rSIG,overall,P1,score_rSIG,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,f672c49cd45c26b35e7b7ed656c1803f0dd7f856cdb88334c561598b75ea3f53,AUROC,0.8816659743376719,0.8283788052627268,0.923522806351273,ESTIMATED,,7282,60,6431,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,3698412969,0.8816659743376719
overall_P1_score_rSIG,overall,P1,score_rSIG,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,f672c49cd45c26b35e7b7ed656c1803f0dd7f856cdb88334c561598b75ea3f53,AUPRC,0.07487532411642683,0.05319240687209854,0.11668922714095926,ESTIMATED,,7282,60,6431,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,3698412969,0.07487532411642683
overall_P1_score_rSIG,overall,P1,score_rSIG,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,f672c49cd45c26b35e7b7ed656c1803f0dd7f856cdb88334c561598b75ea3f53,Brier,0.18343021543875596,0.17897608866740208,0.18799526378799716,ESTIMATED,,7282,60,6431,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,3698412969,0.18343021543875596
overall_P1_score_rSIG_Age,overall,P1,score_rSIG_Age,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,c7b537636c0a24c52615c2fe949a207fb1189f2956fe395a416ecccd6edeaf15,AUROC,0.9099062269031781,0.8781359375195775,0.9372289373199502,ESTIMATED,,7276,60,6425,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2978189442,0.9099062269031781
overall_P1_score_rSIG_Age,overall,P1,score_rSIG_Age,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,c7b537636c0a24c52615c2fe949a207fb1189f2956fe395a416ecccd6edeaf15,AUPRC,0.085654905365985,0.06101814411158029,0.13274281735654261,ESTIMATED,,7276,60,6425,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2978189442,0.085654905365985
overall_P1_score_rSIG_Age,overall,P1,score_rSIG_Age,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,c7b537636c0a24c52615c2fe949a207fb1189f2956fe395a416ecccd6edeaf15,Brier,0.17106247842262823,0.1652442759361968,0.17664586946502733,ESTIMATED,,7276,60,6425,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2978189442,0.17106247842262823
overall_P1_score_SIA_G,overall,P1,score_SIA_G,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,c7b537636c0a24c52615c2fe949a207fb1189f2956fe395a416ecccd6edeaf15,AUROC,0.9099039172209904,0.8790026148454836,0.9369714115315374,ESTIMATED,,7276,60,6425,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,43390309,0.9099039172209904
overall_P1_score_SIA_G,overall,P1,score_SIA_G,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,c7b537636c0a24c52615c2fe949a207fb1189f2956fe395a416ecccd6edeaf15,AUPRC,0.08565112688994159,0.060806260793149325,0.13444960270730055,ESTIMATED,,7276,60,6425,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,43390309,0.08565112688994159
